"Incident.ID","Incident.Date","State","City.Or.County","Killed","Injured"
"2198576","December 28, 2021","Michigan","Detroit","0","1"
"2198516","December 27, 2021","California","Huntington Beach","0","2"
"2198508","December 27, 2021","Minnesota","Moorhead","0","1"
"2198510","December 27, 2021","California","San Francisco","0","2"
"2198500","December 27, 2021","Minnesota","Minneapolis","1","0"
"2198493","December 27, 2021","New York","Brooklyn","0","1"
"2198466","December 27, 2021","New York","Bronx","0","1"
"2198477","December 27, 2021","New York","Corona (Queens)","0","2"
"2198483","December 27, 2021","New York","New York (Manhattan)","0","2"
"2198132","December 27, 2021","New York","Corona (Queens)","1","0"
"2198203","December 27, 2021","Virginia","Portsmouth","0","1"
"2198111","December 27, 2021","Tennessee","Memphis","0","1"
"2198456","December 27, 2021","California","El Monte","1","0"
"2198434","December 27, 2021","Illinois","Chicago","0","1"
"2198117","December 27, 2021","Tennessee","Memphis","0","2"
"2198413","December 27, 2021","Illinois","Chicago","0","1"
"2198416","December 27, 2021","Missouri","Kansas City","1","0"
"2198388","December 27, 2021","Illinois","Chicago","0","1"
"2198371","December 27, 2021","Illinois","Chicago","0","1"
"2198354","December 27, 2021","Louisiana","New Orleans","0","1"
"2198337","December 27, 2021","New Jersey","West Orange","0","1"
"2198322","December 27, 2021","Oklahoma","Poteau","0","1"
"2197986","December 27, 2021","Massachusetts","Boston","1","2"
"2198232","December 27, 2021","District of Columbia","Washington","0","1"
"2198228","December 27, 2021","Maryland","Lanham","1","2"
"2198247","December 27, 2021","Pennsylvania","Philadelphia","0","1"
"2198234","December 27, 2021","Texas","Houston","0","1"
"2198205","December 27, 2021","Maryland","Baltimore","0","1"
"2198200","December 27, 2021","Maryland","Baltimore","0","1"
"2198197","December 27, 2021","Texas","Fort Worth","0","1"
"2198160","December 27, 2021","Maryland","Baltimore","0","1"
"2198087","December 27, 2021","Maryland","Salisbury","0","1"
"2198120","December 27, 2021","Texas","Waco","0","1"
"2198114","December 27, 2021","Texas","Port Arthur","1","1"
"2198102","December 27, 2021","Ohio","Columbus","0","1"
"2198054","December 27, 2021","California","Escondido","1","1"
"2198046","December 27, 2021","Ohio","Columbus","1","0"
"2198036","December 27, 2021","North Carolina","Charlotte","0","1"
"2198014","December 27, 2021","Ohio","Youngstown","1","3"
"2197571","December 27, 2021","Texas","Houston","0","2"
"2197982","December 27, 2021","California","Fresno","1","0"
"2197969","December 27, 2021","Indiana","Indianapolis","0","1"
"2197966","December 27, 2021","Texas","Austin","0","2"
"2197962","December 27, 2021","Texas","Teague","0","1"
"2197958","December 27, 2021","Texas","Houston","1","0"
"2197897","December 27, 2021","Michigan","Troy","1","2"
"2197860","December 27, 2021","Florida","Tampa","1","0"
"2197852","December 27, 2021","Oklahoma","Tulsa","1","0"
"2197738","December 27, 2021","Illinois","Chicago","0","1"
"2197716","December 27, 2021","Illinois","Chicago","0","1"
"2198599","December 27, 2021","Washington","Auburn (Algona)","1","0"
"2197574","December 27, 2021","Texas","Houston","0","1"
"2198585","December 27, 2021","District of Columbia","Washington","1","0"
"2198572","December 27, 2021","Georgia","Savannah","0","3"
"2198521","December 27, 2021","Colorado","Denver","5","3"
"2198315","December 27, 2021","Michigan","Detroit","1","1"
"2198560","December 27, 2021","Michigan","Detroit","1","0"
"2198558","December 27, 2021","Michigan","Detroit","0","1"
"2198547","December 27, 2021","Minnesota","Saint Paul","0","1"
"2198541","December 27, 2021","Louisiana","Baker","0","1"
"2198535","December 27, 2021","Louisiana","Baton Rouge","0","1"
"2198527","December 27, 2021","Louisiana","Denham Springs","0","2"
"2198519","December 27, 2021","Louisiana","Baton Rouge","0","1"
"2197410","December 26, 2021","Minnesota","Minneapolis (Robbinsdale)","2","0"
"2197455","December 26, 2021","New York","Rochester","0","1"
"2198503","December 26, 2021","Minnesota","Minneapolis (Brooklyn Park)","0","1"
"2198497","December 26, 2021","New Mexico","Roswell","0","1"
"2198190","December 26, 2021","Virginia","Richmond","0","1"
"2197380","December 26, 2021","Illinois","Chicago","0","1"
"2197376","December 26, 2021","Illinois","Chicago","0","1"
"2197370","December 26, 2021","Illinois","Chicago","0","1"
"2198209","December 26, 2021","Virginia","Norfolk","1","0"
"2198445","December 26, 2021","Missouri","Saint Louis (Overland)","0","1"
"2197602","December 26, 2021","Louisiana","New Orleans","1","0"
"2197362","December 26, 2021","Illinois","Chicago","1","0"
"2198221","December 26, 2021","Kentucky","Lancaster","0","1"
"2198403","December 26, 2021","California","Oceanside","1","0"
"2197791","December 26, 2021","Arizona","Phoenix","0","3"
"2197806","December 26, 2021","Arizona","Buckeye","1","1"
"2197335","December 26, 2021","Michigan","Detroit","1","0"
"2198361","December 26, 2021","Massachusetts","Springfield","1","0"
"2198272","December 26, 2021","Pennsylvania","Saegertown","0","1"
"2197118","December 26, 2021","New York","Bronx","2","0"
"2197251","December 26, 2021","Michigan","Kalamazoo","0","1"
"2198319","December 26, 2021","Oklahoma","Oklahoma City","0","1"
"2197262","December 26, 2021","Louisiana","Lafayette","0","1"
"2198280","December 26, 2021","Pennsylvania","Erie","0","1"
"2197555","December 26, 2021","Pennsylvania","Erie","1","0"
"2198254","December 26, 2021","Pennsylvania","Harrisburg","1","0"
"2198243","December 26, 2021","Illinois","Streator","1","0"
"2198218","December 26, 2021","Texas","San Antonio","0","1"
